Time,"STREAMS(""FEED"").Fv","STREAMS(""DIST"").Fv","STREAMS(""BOTTOMS"").Fv"
Hours,m3/hr,m3/hr,m3/hr
0,115.935,55.887,66.1199
0.01,115.935,55.887,66.1199
0.02,115.935,55.887,66.1199
0.03,115.935,55.887,66.1199
0.04,115.935,55.887,66.1199
0.05,115.935,55.887,66.1199
0.06,115.935,55.887,66.1199
0.07,115.935,55.887,66.1199
0.08,115.935,55.887,66.1199
0.09,115.935,55.887,66.1199
0.1,115.935,55.887,66.1199
0.11,115.935,55.887,66.1199
0.12,115.935,55.887,66.1199
0.13,115.935,55.887,66.1199
0.14,115.935,55.887,66.1199
0.15,115.935,55.887,66.1199
0.16,115.935,55.887,66.1199
0.17,115.935,55.887,66.1199
0.18,115.935,55.887,66.1199
0.19,115.935,55.887,66.1199
0.2,115.935,55.887,66.1199
0.21,115.935,55.887,66.1199
0.22,115.935,55.887,66.1199
0.23,115.935,55.887,66.1199
0.24,115.935,55.887,66.1199
0.25,115.935,55.887,66.1199
0.26,115.935,55.887,66.1199
0.27,115.935,55.887,66.1199
0.28,115.935,55.887,66.1199
0.29,115.935,55.887,66.1199
0.3,115.935,55.887,66.1199
0.31,115.935,55.887,66.1199
0.32,115.935,55.887,66.1199
0.33,115.935,55.887,66.1199
0.34,115.935,55.887,66.1199
0.35,115.935,55.887,66.1199
0.36,115.935,55.887,66.1199
0.37,115.935,55.887,66.1199
0.38,115.935,55.887,66.1199
0.39,115.935,55.887,66.1199
0.4,115.935,55.887,66.1199
0.41,115.935,55.887,66.1199
0.42,115.935,55.887,66.1199
0.43,115.935,55.887,66.1199
0.44,115.935,55.887,66.1199
0.45,115.935,55.887,66.1199
0.46,115.935,55.887,66.1199
0.47,115.935,55.887,66.1199
0.48,115.935,55.887,66.1199
0.49,115.935,55.887,66.1199
0.5,115.935,55.887,66.1199
0.51,115.935,55.887,66.1199
0.52,115.935,55.887,66.1199
0.53,115.935,55.887,66.1199
0.54,115.935,55.887,66.1199
0.55,115.935,55.887,66.1199
0.56,115.935,55.887,66.1199
0.57,115.935,55.887,66.1199
0.58,115.935,55.887,66.1198
0.59,115.935,55.887,66.1198
0.6,115.935,55.887,66.1198
0.61,115.935,55.887,66.1198
0.62,115.935,55.887,66.1198
0.63,115.935,55.887,66.1198
0.64,115.935,55.887,66.1198
0.65,115.935,55.887,66.1198
0.66,115.935,55.887,66.1198
0.67,115.935,55.887,66.1198
0.68,115.935,55.887,66.1198
0.69,115.935,55.887,66.1198
0.7,115.935,55.887,66.1198
0.71,115.935,55.887,66.1198
0.72,115.935,55.887,66.1198
0.73,115.935,55.887,66.1198
0.74,115.935,55.887,66.1198
0.75,115.935,55.887,66.1198
0.76,115.935,55.887,66.1198
0.77,116.524,55.8797,66.1186
0.78,116.545,55.8642,66.2028
0.79,116.559,55.8463,66.3777
0.8,116.575,55.8284,66.5364
0.81,116.591,55.8117,66.6498
0.82,116.606,55.7967,66.7318
0.83,116.62,55.7824,66.8039
0.84,116.634,55.7704,66.8512
0.85,116.647,55.7585,66.8985
0.86,116.661,55.7481,66.9373
0.87,116.673,55.7392,66.968
0.88,116.685,55.7303,66.9986
0.89,116.697,55.7214,67.0292
0.9,116.71,55.7142,67.0545
0.91,116.721,55.7078,67.0772
0.92,116.732,55.7014,67.0998
0.93,116.743,55.695,67.1225
0.94,116.754,55.6887,67.1451
0.95,116.766,55.6835,67.1659
0.96,116.777,55.6783,67.1858
0.97,116.787,55.6733,67.2057
0.98,116.798,55.6684,67.2256
0.99,116.809,55.6634,67.2455
1,116.819,55.6593,67.2631
1.01,116.829,55.6552,67.2796
1.02,116.839,55.6514,67.2962
1.03,116.849,55.6476,67.3127
1.04,116.859,55.6438,67.3293
1.05,116.869,55.6399,67.3444
1.06,116.878,55.6368,67.3589
1.07,116.888,55.6337,67.3734
1.08,116.897,55.6305,67.3878
1.09,116.906,55.6274,67.4023
1.1,116.916,55.6243,67.4159
1.11,115.75,55.6371,67.484
1.12,115.718,55.6618,67.3184
1.13,115.695,55.6929,66.9735
1.14,115.67,55.7249,66.6609
1.15,115.647,55.7554,66.4399
1.16,115.625,55.7833,66.2828
1.17,115.604,55.8102,66.1457
1.18,115.585,55.8326,66.059
1.19,115.566,55.8549,65.9724
1.2,115.548,55.8742,65.9033
1.21,115.531,55.8906,65.8509
1.22,115.514,55.907,65.7985
1.23,115.497,55.9234,65.7461
1.24,115.481,55.9364,65.705
1.25,115.465,55.9477,65.6694
1.26,115.45,55.959,65.6339
1.27,115.435,55.9703,65.5984
1.28,115.42,55.9816,65.5629
1.29,115.405,55.9909,65.5316
1.3,115.391,55.9992,65.5025
1.31,115.377,56.0075,65.4734
1.32,115.363,56.0158,65.4442
1.33,115.349,56.024,65.4151
1.34,115.335,56.0309,65.3899
1.35,115.322,56.0371,65.3666
1.36,115.309,56.0433,65.3434
1.37,115.296,56.0494,65.3201
1.38,115.283,56.0556,65.2968
1.39,115.27,56.0606,65.2759
1.4,115.258,56.0656,65.2561
1.41,115.246,56.0703,65.2364
1.42,115.234,56.0751,65.2166
1.43,115.222,56.0798,65.1968
1.44,115.21,56.0838,65.1786
1.45,115.198,56.0878,65.161
1.46,115.186,56.0916,65.1435
1.47,115.175,56.0953,65.126
1.48,115.164,56.0991,65.1085
1.49,115.152,56.1028,65.0922
1.5,115.141,56.106,65.076
1.51,115.13,56.1092,65.06
1.52,115.119,56.1124,65.044
1.53,115.108,56.1156,65.028
1.54,115.097,56.1188,65.013
1.55,115.086,56.1216,64.9979
1.56,115.076,56.1244,64.9832
1.57,115.066,56.1272,64.9685
1.58,115.055,56.1299,64.9538
1.59,115.045,56.1327,64.9391
1.6,115.035,56.1355,64.9253
1.61,115.025,56.138,64.9114
1.62,115.015,56.1405,64.8976
1.63,115.005,56.143,64.8837
1.64,114.995,56.1455,64.8698
1.65,114.985,56.148,64.8567
1.66,114.976,56.1505,64.8436
1.67,114.966,56.1528,64.8305
1.68,114.957,56.1551,64.8174
1.69,114.947,56.1574,64.8042
1.7,114.938,56.1598,64.7918
1.71,114.929,56.1621,64.7793
1.72,114.92,56.1644,64.7668
1.73,114.911,56.1665,64.7543
1.74,114.902,56.1687,64.7418
1.75,114.893,56.1708,64.73
